step,drift_score
0,8.112192153930664e-07
8,0.00010798841714859008
16,0.00023148030042648314
24,0.00030530303716659547
32,0.0002613130211830139
40,0.000134890079498291
48,0.0002555111050605774
56,0.00011192828416824341
64,0.0001185658574104309
72,0.00022067427635192872
80,0.00023620665073394775
88,0.0002084055542945862
96,0.00021281450986862182
104,0.00012030810117721557
112,0.00016156017780303956
120,0.00010715723037719726
128,0.00013748079538345337
136,0.00016370832920074464
144,0.00021000295877456664
152,0.00018896937370300294
160,0.0001735299825668335
168,0.00018241971731185912
176,0.00026249021291732785
184,0.0002428552508354187
192,0.00025143951177597045
200,0.0002295878529548645
208,0.00025235116481781006
216,0.0003122061491012573
224,0.00027055293321609497
232,0.00022323250770568846
240,0.0002603793144226074
248,0.0002686876058578491
256,0.00033390432596206663
264,0.0003113320469856262
272,0.0001967296004295349
280,0.00018795818090438843
288,0.0001974913477897644
296,0.00017008095979690553
304,0.00018913179636001587
312,0.00011971771717071533
320,0.00012057811021804809
328,0.0001581132411956787
336,0.000162028968334198
344,0.00016754001379013062
352,0.00013613343238830567
360,0.00015076041221618653
368,0.0001917383074760437
376,0.00012732386589050292
384,0.0001694369316101074
392,0.00018730729818344116
400,0.00013032376766204833
408,7.922738790512084e-05
416,9.030848741531372e-05
424,0.00010292232036590576
432,9.959548711776733e-05
440,8.443355560302734e-05
448,0.00012461572885513305
456,7.4177086353302e-05
464,7.005780935287476e-05
472,8.084625005722046e-05
480,0.00011043071746826172
488,0.00011049211025238037
496,6.193667650222778e-05
504,5.350232124328613e-05
512,5.586624145507812e-05
520,7.196575403213501e-05
528,5.5498480796813966e-05
536,9.031713008880615e-05
544,9.107530117034912e-05
552,8.836448192596435e-05
560,6.557941436767578e-05
568,6.416082382202149e-05
576,5.3700804710388186e-05
584,3.8362741470336914e-05
592,4.4595003128051755e-05
600,5.182713270187378e-05
608,4.215419292449951e-05
616,4.745006561279297e-05
624,4.718661308288574e-05
632,5.475342273712158e-05
640,3.36068868637085e-05
648,2.591639757156372e-05
656,2.7434825897216795e-05
664,3.402411937713623e-05
672,3.6073029041290286e-05
680,6.134957075119019e-05
688,6.584227085113526e-05
696,3.204286098480225e-05
704,2.9464662075042723e-05
712,3.7240386009216306e-05
720,5.039215087890625e-05
728,7.05292820930481e-05
736,5.534082651138306e-05
744,4.5808851718902585e-05
752,4.721313714981079e-05
760,6.063014268875122e-05
768,3.882050514221191e-05
776,3.8565099239349364e-05
784,2.4651288986206054e-05
792,1.7867088317871093e-05
800,1.8822848796844483e-05
808,3.2446086406707765e-05
816,4.1960179805755617e-05
824,2.711355686187744e-05
832,1.8531978130340577e-05
840,2.1870732307434082e-05
848,4.048466682434082e-05
856,4.698455333709717e-05
864,6.0068964958190916e-05
872,6.048738956451416e-05
880,5.890578031539917e-05
888,5.343586206436157e-05
896,5.4447948932647706e-05
904,2.3125708103179932e-05
912,2.677410840988159e-05
920,2.8365850448608397e-05
928,5.480706691741943e-05
936,3.6737024784088136e-05
944,4.6747922897338864e-05
952,3.4077465534210206e-05
960,3.9655566215515133e-05
968,4.16603684425354e-05
976,3.2923221588134766e-05
984,2.962172031402588e-05
992,2.8468668460845947e-05
1000,3.7536919116973876e-05
1008,5.997687578201294e-05
1016,4.4990777969360355e-05
1024,3.12197208404541e-05
1032,3.529787063598633e-05
1040,4.2747259140014645e-05
1048,2.5268495082855225e-05
1056,2.7112960815429687e-05
1064,1.8524527549743654e-05
1072,2.2833645343780516e-05
1080,2.893805503845215e-05
1088,1.2577176094055175e-05
1096,1.5561580657958983e-05
1104,2.770841121673584e-05
1112,3.135532140731811e-05
1120,2.9465854167938234e-05
1128,3.000110387802124e-05
1136,2.315998077392578e-05
1144,2.4181008338928223e-05
1152,1.118779182434082e-05
1160,2.897799015045166e-05
1168,9.97096300125122e-06
1176,2.0746290683746338e-05
1184,2.0246505737304688e-05
1192,1.8876194953918457e-05
1200,2.315312623977661e-05
1208,1.9189119338989258e-05
1216,3.210604190826416e-05
1224,2.0466148853302002e-05
1232,2.1089911460876464e-05
1240,3.055185079574585e-05
1248,2.208501100540161e-05
1256,2.960026264190674e-05
1264,2.9879212379455568e-05
1272,2.596050500869751e-05
1280,3.204464912414551e-05
1288,4.4254064559936526e-05
1296,4.5125782489776613e-05
1304,3.580480813980103e-05
1312,2.1203160285949708e-05
1320,1.8313229084014893e-05
1328,2.410888671875e-05
1336,2.6027858257293702e-05
1344,4.363417625427246e-05
1352,3.54352593421936e-05
1360,1.9465982913970946e-05
1368,1.6229152679443358e-05
1376,1.0442733764648437e-05
1384,1.0870993137359619e-05
1392,1.778215169906616e-05
1400,1.2394487857818603e-05
1408,1.065671443939209e-05
1416,1.0817348957061768e-05
1424,1.9648075103759765e-05
1432,2.196580171585083e-05
1440,2.2022128105163576e-05
1448,1.3485848903656006e-05
1456,1.2514889240264893e-05
1464,1.406252384185791e-05
1472,2.6178359985351562e-05
1480,2.374976873397827e-05
1488,2.8771162033081054e-05
1496,2.7487277984619142e-05
1504,2.31856107711792e-05
1512,1.8031895160675047e-05
1520,1.4144480228424073e-05
1528,1.3979971408843993e-05
1536,9.944736957550049e-06
1544,1.4346837997436523e-05
1552,9.219348430633546e-06
1560,9.216368198394775e-06
1568,1.3149678707122803e-05
1576,1.076340675354004e-05
1584,7.4559450149536135e-06
1592,8.70048999786377e-06
1600,6.522834300994873e-06
1608,6.49183988571167e-06
1616,1.0217726230621339e-05
1624,4.993677139282227e-06
1632,4.629194736480713e-06
1640,9.432733058929443e-06
1648,1.9650161266326905e-05
1656,1.8474161624908447e-05
1664,1.9372105598449706e-05
1672,1.863330602645874e-05
1680,2.1321475505828856e-05
1688,2.9184818267822265e-05
1696,2.0248293876647948e-05
1704,1.6222000122070314e-05
1712,2.154797315597534e-05
1720,1.2193024158477783e-05
1728,2.0916759967803956e-05
1736,1.482069492340088e-05
1744,1.7195343971252442e-05
1752,2.3111701011657715e-05
1760,2.8412044048309327e-05
1768,3.773093223571777e-05
1776,2.934485673904419e-05
1784,2.4688243865966796e-05
1792,1.2494921684265136e-05
1800,1.3403892517089843e-05
1808,1.0179579257965088e-05
1816,1.632094383239746e-05
1824,2.580493688583374e-05
1832,2.6289820671081543e-05
1840,2.7485191822052002e-05
1848,2.519279718399048e-05
1856,3.0306577682495116e-05
1864,2.5343894958496093e-05
1872,1.5567243099212647e-05
1880,1.4285147190093994e-05
1888,1.8581151962280274e-05
1896,1.0339021682739258e-05
1904,1.1163949966430665e-05
1912,1.0419785976409912e-05
1920,1.9440352916717528e-05
1928,1.9816458225250243e-05
1936,1.4436542987823487e-05
1944,1.462787389755249e-05
1952,1.825571060180664e-05
1960,1.302480697631836e-05
1968,1.8581748008728027e-05
1976,1.0627806186676026e-05
1984,1.6050636768341066e-05
1992,2.722412347793579e-05
2000,1.7379820346832274e-05
2008,1.4123320579528808e-05
2016,1.0425448417663574e-05
2024,1.382291316986084e-05
2032,1.819908618927002e-05
2040,1.7137229442596435e-05
2048,1.4603137969970703e-05
2056,2.2874772548675536e-05
2064,1.947462558746338e-05
2072,1.551002264022827e-05
2080,1.3173520565032958e-05
2088,9.671747684478759e-06
2096,5.232691764831543e-06
2104,1.132369041442871e-05
2112,1.1880695819854736e-05
2120,1.417994499206543e-05
2128,8.41677188873291e-06
2136,8.81284475326538e-06
2144,7.879436016082763e-06
2152,9.442269802093505e-06
2160,1.2607574462890626e-05
2168,9.711384773254395e-06
2176,1.1740624904632568e-05
2184,1.3239383697509766e-05
2192,1.2128055095672607e-05
2200,7.859766483306885e-06
2208,1.4484822750091552e-05
2216,2.1038055419921874e-05
2224,1.7282664775848388e-05
2232,1.1449456214904785e-05
2240,1.0443925857543945e-05
2248,5.924105644226074e-06
2256,7.669031620025634e-06
2264,7.5331330299377444e-06
2272,1.1459589004516601e-05
2280,1.0118484497070312e-05
2288,1.1500418186187744e-05
2296,1.1658668518066406e-05
2304,1.0420680046081544e-05
2312,9.609758853912353e-06
2320,6.73145055770874e-06
2328,1.1737048625946044e-05
2336,8.504688739776611e-06
2344,8.7738037109375e-06
2352,6.2358379364013675e-06
2360,1.1788308620452881e-05
2368,1.075059175491333e-05
2376,1.1229515075683594e-05
2384,1.4167726039886474e-05
2392,1.2974739074707032e-05
2400,1.1848211288452149e-05
2408,8.273422718048096e-06
2416,4.581809043884278e-06
2424,6.980001926422119e-06
2432,1.5224218368530273e-05
2440,1.1388957500457763e-05
2448,1.2078285217285155e-05
2456,1.0152757167816163e-05
2464,1.1480748653411866e-05
2472,7.563531398773193e-06
2480,9.48488712310791e-06
2488,7.203519344329834e-06
2496,1.1036694049835205e-05
2504,1.0093450546264649e-05
2512,1.2120306491851807e-05
2520,1.0437071323394775e-05
2528,1.1264979839324951e-05
2536,1.793205738067627e-05
2544,2.2552013397216798e-05
2552,1.981973648071289e-05
2560,1.3930797576904297e-05
2568,1.3288557529449462e-05
2576,1.5232563018798828e-05
2584,1.2105107307434082e-05
2592,9.800493717193604e-06
2600,9.415745735168457e-06
2608,1.77648663520813e-05
2616,1.1823773384094239e-05
2624,1.037806272506714e-05
2632,6.912648677825927e-06
2640,1.0620355606079102e-05
2648,1.621633768081665e-05
2656,1.2499392032623292e-05
2664,1.2046396732330322e-05
2672,9.577572345733643e-06
2680,6.61700963973999e-06
2688,5.554556846618652e-06
2696,7.057785987854004e-06
2704,9.920299053192139e-06
2712,5.679130554199219e-06
2720,8.231699466705322e-06
2728,6.976425647735596e-06
2736,8.663535118103027e-06
2744,9.203553199768066e-06
2752,6.331801414489746e-06
2760,8.323788642883301e-06
2768,1.048266887664795e-05
2776,1.2423098087310792e-05
2784,1.6711652278900146e-05
2792,2.4233758449554443e-05
2800,1.477271318435669e-05
2808,9.639561176300048e-06
2816,7.083714008331299e-06
2824,5.801916122436524e-06
2832,4.673898220062256e-06
2840,5.86092472076416e-06
2848,5.582869052886963e-06
2856,8.756518363952637e-06
2864,8.725821971893311e-06
2872,1.4832913875579833e-05
2880,1.2858510017395019e-05
2888,1.6793906688690185e-05
2896,1.0011494159698487e-05
2904,4.525482654571533e-06
2912,1.1878609657287597e-05
2920,1.662701368331909e-05
2928,9.140670299530029e-06
2936,7.791817188262939e-06
2944,7.478892803192138e-06
2952,7.427334785461426e-06
2960,6.193816661834717e-06
2968,7.860064506530762e-06
2976,6.345808506011963e-06
2984,7.43865966796875e-06
2992,7.287263870239258e-06
3000,1.2383162975311279e-05
3008,1.2810230255126952e-05
3016,9.34898853302002e-06
3024,1.1314153671264648e-05
3032,5.583465099334717e-06
3040,1.0326206684112549e-05
3048,8.339583873748779e-06
3056,1.093834638595581e-05
3064,7.883310317993164e-06
3072,1.2569725513458251e-05
3080,1.1814236640930176e-05
3088,9.666383266448975e-06
3096,9.787678718566895e-06
3104,7.669925689697266e-06
3112,9.64909791946411e-06
3120,8.755028247833251e-06
3128,9.035468101501465e-06
3136,1.1316835880279542e-05
3144,1.0754168033599854e-05
3152,1.474320888519287e-05
3160,9.343326091766357e-06
3168,9.347796440124512e-06
3176,8.690357208251954e-06
3184,7.944107055664063e-06
3192,4.828274250030517e-06
3200,6.4811110496520996e-06
3208,1.2197792530059815e-05
3216,8.674561977386474e-06
3224,1.0977089405059814e-05
3232,1.2051761150360107e-05
3240,1.5323758125305174e-05
3248,9.429454803466796e-06
3256,8.786022663116455e-06
3264,9.644925594329834e-06
3272,1.3043880462646485e-05
3280,1.179516315460205e-05
3288,1.0189414024353027e-05
3296,1.0668635368347169e-05
3304,8.714795112609864e-06
3312,5.9807300567626955e-06
3320,9.102225303649903e-06
3328,8.455812931060792e-06
3336,5.736947059631348e-06
3344,5.590617656707764e-06
3352,5.803406238555908e-06
3360,5.178451538085937e-06
3368,4.3821334838867185e-06
3376,5.827844142913819e-06
3384,3.9646029472351075e-06
