step,accuracy
200,0.3
400,0.39
600,0.46166666666666667
800,0.53
1000,0.567
1200,0.6016666666666667
1400,0.625
1600,0.648125
1800,0.6716666666666666
2000,0.6815
2200,0.6936363636363636
2400,0.70125
2600,0.7123076923076923
2800,0.7182142857142857
3000,0.7256666666666667
3200,0.73
3400,0.7338235294117647
3600,0.7363888888888889
3800,0.74
4000,0.743
4200,0.7471428571428571
4400,0.7515909090909091
4600,0.7543478260869565
4800,0.7572916666666667
5000,0.7592
5200,0.7626923076923077
5400,0.765
5600,0.7657142857142857
5800,0.7677586206896552
6000,0.7703333333333333
6200,0.7688709677419355
6400,0.770625
6600,0.7730303030303031
6800,0.7752941176470588
7000,0.7774285714285715
7200,0.7775
7400,0.7782432432432432
7600,0.7790789473684211
7800,0.7793589743589744
8000,0.7805
8200,0.7825609756097561
8400,0.7845238095238095
8600,0.7852325581395349
8800,0.7864772727272727
9000,0.7881111111111111
9200,0.7870652173913043
9400,0.7877659574468086
9600,0.7889583333333333
9800,0.7906122448979592
10000,0.7913
10200,0.7911764705882353
10400,0.7927884615384615
10600,0.7935849056603773
10800,0.7939814814814815
11000,0.7947272727272727
11200,0.7951785714285714
11400,0.7959649122807018
11600,0.7971551724137931
11800,0.7977966101694915
12000,0.7986666666666666
12200,0.8002459016393443
12400,0.800725806451613
12600,0.8005555555555556
12800,0.801328125
13000,0.8016923076923077
13200,0.8023484848484849
13400,0.803134328358209
13600,0.80375
13800,0.8043478260869565
14000,0.8050714285714285
14200,0.8057746478873239
14400,0.8059027777777777
14600,0.8056164383561644
14800,0.8057432432432432
15000,0.8062
15200,0.8065789473684211
15400,0.8073376623376624
15600,0.8071153846153846
15800,0.8072784810126582
16000,0.8075625
16200,0.8064197530864198
16400,0.8065243902439024
16600,0.8069879518072289
16800,0.8076785714285715
17000,0.808235294117647
17200,0.8086046511627907
17400,0.8090229885057472
17600,0.80875
17800,0.8090449438202247
18000,0.8093888888888889
18200,0.8097252747252748
18400,0.809945652173913
18600,0.8100537634408602
18800,0.8100531914893617
19000,0.8100526315789474
19200,0.81015625
19400,0.8106185567010309
19600,0.8106632653061224
19800,0.8113131313131313
20000,0.81145
20200,0.8114851485148515
20400,0.8118627450980392
20600,0.8125242718446601
20800,0.8123076923076923
21000,0.8128571428571428
21200,0.812688679245283
21400,0.8126168224299065
21600,0.8130555555555555
21800,0.813302752293578
22000,0.8133636363636364
22200,0.8134684684684684
22400,0.8136607142857143
22600,0.8139823008849557
22800,0.8142105263157895
23000,0.8146086956521739
23200,0.8148275862068965
23400,0.814957264957265
23600,0.815042372881356
23800,0.8150420168067227
24000,0.8154583333333333
24200,0.8154132231404959
24400,0.8156967213114754
24600,0.8158130081300813
24800,0.8161290322580645
25000,0.81652
25200,0.8166269841269841
25400,0.8168503937007874
25600,0.8173046875
25800,0.8174418604651162
26000,0.817923076923077
26200,0.818206106870229
26400,0.8185984848484849
26600,0.8190225563909774
26800,0.8191791044776119
27000,0.8191111111111111
27200,0.8191544117647059
27400,0.8197445255474453
27600,0.8197826086956522
27800,0.8199280575539568
28000,0.8200714285714286
28200,0.8202127659574469
28400,0.8202112676056338
28600,0.8203146853146853
28800,0.8207291666666666
29000,0.8211034482758621
29200,0.8214383561643835
29400,0.8215986394557823
29600,0.8215878378378378
29800,0.8217785234899329
30000,0.8220333333333333
30200,0.8223841059602649
30400,0.8228947368421052
30600,0.8232679738562092
30800,0.8233116883116883
31000,0.8235483870967742
31200,0.8237179487179487
31400,0.8239808917197452
31600,0.8239873417721519
31800,0.8240880503144654
32000,0.824375
32200,0.8243788819875777
32400,0.8245370370370371
32600,0.8246012269938651
32800,0.8245121951219512
33000,0.8243636363636364
33200,0.8243072289156627
33400,0.8244011976047905
33600,0.8245535714285714
33800,0.8247337278106509
34000,0.8247058823529412
34200,0.8247953216374269
34400,0.8248255813953488
34600,0.8250578034682081
34800,0.825316091954023
35000,0.8254
35200,0.8257386363636363
35400,0.8257062146892655
35600,0.8256179775280899
35800,0.8257262569832402
36000,0.8256388888888889
36200,0.8257734806629834
36400,0.8259340659340659
36600,0.825983606557377
36800,0.826195652173913
37000,0.8260540540540541
37200,0.826236559139785
37400,0.8263101604278075
37600,0.8261968085106383
37800,0.8264814814814815
38000,0.8265789473684211
38200,0.8265968586387434
38400,0.8266666666666667
38600,0.8266062176165803
38800,0.8267525773195876
39000,0.8265641025641025
39200,0.8266581632653062
39400,0.826497461928934
39600,0.8267171717171717
39800,0.8269095477386935
40000,0.827025
40200,0.8271641791044776
40400,0.8272772277227722
40600,0.8274137931034483
40800,0.8275245098039216
41000,0.8277073170731707
41200,0.8276456310679612
41400,0.8277777777777777
41600,0.8279567307692308
41800,0.8280382775119617
42000,0.8281190476190476
42200,0.8281042654028437
42400,0.8283490566037736
42600,0.8282394366197183
42800,0.8284813084112149
43000,0.8286744186046512
43200,0.828587962962963
43400,0.8286635944700461
