step,accuracy
160,0.94375
320,0.9375
480,0.9208333333333333
640,0.909375
800,0.91625
960,0.9177083333333333
1120,0.9223214285714286
1280,0.92265625
1440,0.9236111111111112
1600,0.925
1760,0.9267045454545455
1920,0.9270833333333334
2080,0.9245192307692308
2240,0.9241071428571429
2400,0.9229166666666667
2560,0.922265625
2720,0.9246323529411765
2880,0.9253472222222222
3040,0.9263157894736842
3200,0.9278125
3360,0.924404761904762
3520,0.9247159090909091
3680,0.9252717391304348
3840,0.9244791666666666
4000,0.925
4160,0.9242788461538461
4320,0.9238425925925926
4480,0.9238839285714285
4640,0.9245689655172413
4800,0.92375
4960,0.9239919354838709
5120,0.9232421875
5280,0.9231060606060606
5440,0.9226102941176471
5600,0.9223214285714286
5760,0.9229166666666667
5920,0.922972972972973
6080,0.9233552631578947
6240,0.9227564102564103
6400,0.9225
6560,0.9228658536585366
6720,0.9233630952380952
6880,0.9222383720930233
7040,0.9224431818181819
7200,0.9227777777777778
7360,0.9228260869565217
7520,0.9224734042553191
7680,0.9225260416666666
7840,0.9229591836734694
8000,0.9235
8160,0.9232843137254902
8180,0.9232273838630807
