step,accuracy
80,0.9375
160,0.95625
240,0.9291666666666667
320,0.915625
400,0.9125
480,0.9145833333333333
560,0.9160714285714285
640,0.91875
720,0.9125
800,0.90875
880,0.9068181818181819
960,0.9052083333333333
1040,0.9057692307692308
1120,0.9053571428571429
1200,0.9083333333333333
1280,0.90703125
1360,0.9073529411764706
1440,0.9076388888888889
1520,0.9085526315789474
1600,0.91125
1680,0.9142857142857143
1760,0.915340909090909
1840,0.9173913043478261
1920,0.9135416666666667
2000,0.912
2080,0.9129807692307692
2160,0.913425925925926
2240,0.9138392857142857
2320,0.9120689655172414
2400,0.9125
2480,0.9145161290322581
2560,0.91328125
2640,0.9128787878787878
2720,0.9121323529411764
2800,0.9117857142857143
2880,0.9135416666666667
2960,0.9138513513513513
3040,0.9138157894736842
3120,0.9128205128205128
3200,0.911875
3280,0.9115853658536586
3360,0.9107142857142857
3440,0.9104651162790698
3520,0.9099431818181818
3600,0.9077777777777778
3680,0.908695652173913
3760,0.9074468085106383
3840,0.9080729166666667
3920,0.9079081632653061
4000,0.9085
4080,0.907843137254902
4160,0.9086538461538461
4240,0.9087264150943396
4320,0.9083333333333333
4400,0.9088636363636363
4480,0.909375
4560,0.9081140350877193
4640,0.9086206896551724
4720,0.9086864406779661
4800,0.90875
4880,0.909016393442623
4960,0.9084677419354839
5040,0.9083333333333333
5120,0.908984375
5200,0.9088461538461539
5280,0.9089015151515152
5360,0.9087686567164179
5440,0.9090073529411765
5520,0.9088768115942029
5600,0.9082142857142858
5680,0.9084507042253521
5760,0.9081597222222222
5840,0.9083904109589042
5920,0.9091216216216216
6000,0.9095
6080,0.909375
6160,0.9073051948051948
6240,0.9065705128205128
6320,0.9074367088607594
6400,0.90703125
6480,0.9070987654320988
6560,0.9077743902439024
6640,0.907078313253012
6720,0.90625
6800,0.9066176470588235
6880,0.9068313953488372
6960,0.9073275862068966
7040,0.9072443181818182
7120,0.9071629213483146
7200,0.9072222222222223
7280,0.9072802197802198
7360,0.907608695652174
7440,0.9080645161290323
7520,0.9079787234042553
7600,0.9077631578947368
7680,0.9075520833333334
7760,0.9074742268041237
7840,0.9076530612244897
7920,0.9075757575757576
8000,0.9075
8080,0.907549504950495
8160,0.9074754901960784
8240,0.9072815533980583
8320,0.9073317307692308
8400,0.9072619047619047
8480,0.9071933962264151
8560,0.9072429906542057
8640,0.9070601851851852
8720,0.9073394495412844
8800,0.9075
8880,0.9076576576576577
8960,0.9075892857142858
9040,0.9074115044247788
9120,0.9067982456140351
9200,0.9061956521739131
9280,0.9060344827586206
9360,0.9056623931623932
9440,0.9054025423728813
9520,0.9052521008403361
9600,0.9055208333333333
