step,accuracy
400,0.2225
800,0.28
1200,0.31666666666666665
1600,0.348125
2000,0.3935
2400,0.4225
2800,0.4471428571428571
3200,0.4734375
3600,0.49694444444444447
4000,0.5115
4400,0.5309090909090909
4800,0.548125
5200,0.5609615384615385
5600,0.57625
6000,0.5878333333333333
6400,0.59578125
6800,0.6047058823529412
7200,0.6133333333333333
7600,0.6193421052631579
8000,0.627
8400,0.6347619047619047
8800,0.6417045454545455
9200,0.6467391304347826
9600,0.6515625
10000,0.6582
10400,0.6630769230769231
10800,0.6675925925925926
11200,0.6716071428571428
11600,0.6762068965517242
12000,0.6806666666666666
12400,0.6850806451612903
12800,0.6884375
13200,0.6915151515151515
13600,0.6939705882352941
14000,0.6972142857142857
14400,0.7004166666666667
14800,0.7027027027027027
15200,0.7049342105263158
15600,0.708076923076923
16000,0.7095625
16400,0.7095121951219512
16800,0.7111904761904762
17200,0.7128488372093024
17600,0.715284090909091
18000,0.7170555555555556
18400,0.7189130434782609
18800,0.7202127659574468
19200,0.7211979166666667
19600,0.7226530612244898
20000,0.7243
20400,0.7255392156862746
20800,0.7270673076923077
21200,0.7284433962264151
21600,0.7300925925925926
22000,0.7314545454545455
22400,0.7328571428571429
22800,0.733859649122807
23200,0.735301724137931
23600,0.7363983050847458
24000,0.737625
24400,0.7392213114754098
24800,0.7408870967741935
25200,0.7425396825396825
25600,0.7440234375
26000,0.745423076923077
26400,0.7470075757575757
26800,0.7485820895522388
27200,0.7494117647058823
27600,0.7503623188405797
28000,0.7510714285714286
28400,0.7519718309859155
28800,0.7531597222222223
29200,0.7540753424657535
29600,0.7546621621621622
30000,0.7559666666666667
30400,0.757203947368421
30800,0.7580194805194805
31200,0.7590705128205129
31600,0.7601582278481013
32000,0.76090625
32400,0.7617901234567901
32800,0.7624695121951219
33200,0.7625903614457832
33600,0.7636011904761905
34000,0.7644705882352941
34400,0.7648546511627907
34800,0.7657758620689655
35200,0.7666761363636364
35600,0.7668258426966292
36000,0.7672222222222222
36400,0.7679120879120879
36800,0.7688858695652174
37200,0.7694354838709677
37600,0.7698404255319149
38000,0.7703947368421052
38400,0.771015625
38800,0.7715206185567011
39200,0.772015306122449
39600,0.772070707070707
40000,0.7728
40400,0.773589108910891
40800,0.7741666666666667
41200,0.7748300970873786
41600,0.7751442307692308
42000,0.7757619047619048
42400,0.7765801886792453
42800,0.77696261682243
43200,0.7770833333333333
43600,0.7775688073394496
44000,0.7781136363636364
44400,0.778536036036036
44800,0.7790625
45200,0.7794690265486726
45600,0.7798245614035088
46000,0.7803913043478261
46400,0.7805387931034483
46800,0.7808119658119658
47200,0.7814194915254238
47600,0.7816806722689076
48000,0.7820833333333334
48400,0.7827892561983472
48800,0.783422131147541
49200,0.7836178861788617
49600,0.7839314516129032
50000,0.78454
50400,0.785079365079365
50800,0.785492125984252
51200,0.78580078125
51600,0.7860658914728682
52000,0.7865192307692308
