step,drift_score
7552,2.8805946236226095e-06
7584,2.98468034658859e-06
7616,2.410874437929979e-06
7648,1.4079743949928094e-06
7680,1.6846467013382794e-06
7712,1.3027025099417464e-06
7744,1.3836580722486202e-06
7776,1.831730799888497e-06
7808,1.7148938345078805e-06
7840,1.696804862710374e-06
7872,2.1745316424773106e-06
7904,1.7703469119854826e-06
7936,1.1087650090307739e-06
7968,1.4257668262690453e-06
8000,1.345997426047254e-06
8032,1.593608761308205e-06
8064,1.3062609961969935e-06
8096,1.1840863014335064e-06
8128,1.2430978651663558e-06
8160,1.4331803393008104e-06
8192,2.639210639308341e-06
8224,2.720759282657756e-06
8256,1.2949924563887107e-06
8288,1.243690946208897e-06
8320,2.892159703952163e-06
8352,2.3592763872288946e-06
8384,2.165338886317922e-06
8416,2.379737683196566e-06
8448,2.3776618995476717e-06
8480,1.1778589504868237e-06
8512,1.4518623921408582e-06
8544,1.3620106141958664e-06
8576,1.7116318887739038e-06
8608,2.8853392719629392e-06
8640,2.77206079283757e-06
8672,2.985569968152402e-06
8704,3.012258615066756e-06
8736,3.0303475868642625e-06
8768,2.097134566425684e-06
8800,2.076376729936742e-06
8832,1.335618507802783e-06
8864,1.5722578437767218e-06
8896,1.99126960033208e-06
8928,1.6300832454244888e-06
8960,2.8227692219748425e-06
8992,2.0802317567132598e-06
9024,2.240363638199384e-06
9056,1.9061624707274176e-06
9088,2.10514116049999e-06
9120,1.6600338380728195e-06
9152,1.7869531811766363e-06
9184,1.7285346984863281e-06
9216,1.2982544021226873e-06
9248,1.262966080091486e-06
9280,1.0432295538299711e-06
9312,1.2499182971555795e-06
9344,1.1138061978923742e-06
9376,1.1612526812956702e-06
9408,9.593085863103915e-07
9440,8.854699965140119e-07
9472,1.0375952839258298e-06
9504,1.2009891111459305e-06
9536,9.029658872689774e-07
9568,9.406265334703436e-07
9600,7.35717033272359e-07
9632,7.638883827930659e-07
9664,1.2795723492826396e-06
9696,1.4308080151306456e-06
9728,1.2152230561669193e-06
9760,1.2611868369638623e-06
9792,8.000663263880792e-07
9824,1.2217469476348726e-06
9856,2.4156190862703087e-06
9888,2.1822416960303463e-06
9920,1.754630264358141e-06
9952,1.5515000072877799e-06
9984,2.3927854661324723e-06
10016,3.119013202724172e-06
10048,1.592126058701852e-06
10080,1.0648770118827251e-06
