step,accuracy
800,0.2325
1600,0.38125
2400,0.47375
3200,0.5340625
4000,0.57175
4800,0.6079166666666667
5600,0.6308928571428571
6400,0.649375
7200,0.6658333333333334
8000,0.677875
8800,0.6892045454545455
9600,0.6975
10400,0.708173076923077
11200,0.7165178571428571
12000,0.7225833333333334
12800,0.728125
13600,0.7333088235294117
14400,0.7394444444444445
15200,0.7426973684210526
16000,0.746625
16800,0.7488690476190476
17600,0.7525
18400,0.7554347826086957
19200,0.7571354166666666
20000,0.7599
20800,0.7629807692307692
21600,0.7652314814814815
22400,0.7670089285714285
23200,0.7689224137931034
24000,0.770625
24800,0.7725806451612903
25600,0.7746484375
26400,0.7767045454545455
27200,0.7786764705882353
28000,0.7805
28800,0.7817361111111111
29600,0.783581081081081
30400,0.7858552631578948
31200,0.7875961538461539
32000,0.788875
32800,0.7897560975609756
33600,0.790625
34400,0.7914534883720931
35200,0.7927840909090909
36000,0.7931388888888888
36800,0.7941304347826087
37600,0.7950531914893617
38400,0.7959895833333334
39200,0.7965561224489796
40000,0.79735
40800,0.7983823529411764
41600,0.799110576923077
42400,0.8003537735849057
43200,0.8010416666666667
44000,0.8019318181818181
44800,0.8027232142857142
45600,0.8030701754385965
46400,0.8038146551724138
47200,0.8047881355932204
48000,0.8053541666666667
48800,0.8062704918032787
49600,0.806733870967742
50400,0.8078968253968254
51200,0.80865234375
52000,0.8092307692307692
52800,0.8092613636363636
53600,0.8101492537313433
54400,0.8106801470588235
55200,0.8110507246376811
56000,0.8116428571428571
56800,0.8120422535211268
57600,0.8123090277777778
58400,0.8125
59200,0.8129391891891892
60000,0.8128666666666666
60800,0.8130756578947368
61600,0.8135389610389611
62400,0.8134294871794872
63200,0.8139082278481012
64000,0.814140625
64800,0.8143364197530865
65600,0.8145884146341463
66400,0.815316265060241
67200,0.8156398809523809
68000,0.8160147058823529
68800,0.8163953488372093
69600,0.8165948275862069
70400,0.8167755681818182
71200,0.8169943820224719
72000,0.8172083333333333
72800,0.8175549450549451
73600,0.8176766304347826
74400,0.8176344086021505
75200,0.817845744680851
76000,0.818078947368421
76800,0.818359375
77600,0.8183376288659794
78400,0.8185714285714286
79200,0.8186237373737374
80000,0.8186125
80800,0.8189603960396039
81600,0.8193872549019607
82400,0.8196723300970874
83200,0.8196394230769231
84000,0.8195357142857143
84800,0.8198584905660378
85600,0.8199182242990655
86400,0.8198842592592592
87200,0.8199311926605505
88000,0.8204318181818182
88800,0.8207882882882883
89600,0.8210379464285714
90400,0.8211061946902655
91200,0.8213925438596491
92000,0.8215108695652173
92800,0.8219073275862069
93600,0.8220619658119658
94400,0.8223093220338983
95200,0.8225
96000,0.8230833333333333
96800,0.8231921487603305
97600,0.8234836065573771
98400,0.8239634146341464
99200,0.824304435483871
100000,0.82459
100800,0.8248313492063492
101600,0.8250295275590551
102400,0.825283203125
103200,0.8254748062015503
104000,0.8258557692307692
104800,0.8261164122137404
105600,0.8262973484848485
106400,0.826437969924812
107200,0.8267910447761194
108000,0.8269537037037037
108800,0.8270220588235294
109600,0.8272810218978102
110400,0.8276992753623188
111200,0.827931654676259
112000,0.8278839285714286
112800,0.8281737588652482
113600,0.828468309859155
114400,0.828784965034965
115200,0.8291232638888889
116000,0.8294224137931034
116800,0.829777397260274
117600,0.8302210884353741
118400,0.8304983108108108
119200,0.830738255033557
120000,0.831075
120800,0.8313327814569537
121600,0.8315131578947368
122400,0.8318300653594771
123200,0.8322321428571429
124000,0.8324193548387097
124800,0.8325240384615384
125600,0.8329299363057325
126400,0.8332041139240506
127200,0.8335141509433962
128000,0.8338984375
128800,0.8341925465838509
129600,0.8343827160493827
130400,0.8345782208588957
131200,0.8347942073170732
132000,0.8350378787878788
132800,0.8352259036144578
133600,0.8354790419161676
134400,0.8358258928571428
135200,0.8360502958579882
136000,0.8362573529411764
136800,0.8364619883040936
137600,0.836780523255814
138400,0.8370086705202312
139200,0.8372485632183908
140000,0.8374214285714285
140800,0.8376846590909091
141600,0.8380084745762711
142400,0.8383426966292135
143200,0.838463687150838
144000,0.8387638888888889
144800,0.8388812154696133
145600,0.8390659340659341
146400,0.8392827868852459
147200,0.8394701086956522
148000,0.8396824324324325
148800,0.8400470430107527
149600,0.8403141711229947
150400,0.8405585106382979
151200,0.8407738095238095
152000,0.8409539473684211
152800,0.8412696335078534
153600,0.84154296875
154400,0.8416709844559586
155200,0.841875
156000,0.842025641025641
156800,0.8422512755102041
157600,0.8423540609137056
158400,0.8425252525252526
159200,0.8427638190954774
160000,0.84300625
160800,0.8431094527363184
161600,0.8433168316831683
162400,0.8436022167487685
163200,0.8437071078431373
164000,0.8439268292682927
164800,0.8437014563106796
165600,0.8435809178743962
166400,0.8434254807692307
167200,0.8433373205741627
168000,0.8433630952380953
168800,0.843388625592417
169600,0.8432665094339623
170400,0.8433802816901409
171200,0.843428738317757
172000,0.8434825581395349
172800,0.8435474537037037
173600,0.843692396313364
174400,0.8437557339449542
175200,0.8438584474885845
176000,0.8439090909090909
176800,0.8439592760180995
177600,0.8440371621621622
178400,0.8442769058295964
179200,0.8444419642857143
180000,0.8446277777777778
180800,0.844712389380531
181600,0.8447907488986784
