step,accuracy
400,0.225
800,0.32625
1200,0.375
1600,0.428125
2000,0.479
2400,0.5004166666666666
2800,0.5242857142857142
3200,0.5434375
3600,0.5613888888888889
4000,0.57575
4400,0.5915909090909091
4800,0.6041666666666666
5200,0.6119230769230769
5600,0.6214285714285714
6000,0.628
6400,0.6334375
6800,0.6398529411764706
7200,0.6465277777777778
7600,0.6497368421052632
8000,0.654875
8400,0.6603571428571429
8800,0.6656818181818182
9200,0.6679347826086957
9600,0.6728125
10000,0.6783
10400,0.681923076923077
10800,0.6862962962962963
11200,0.6901785714285714
11600,0.694396551724138
12000,0.6960833333333334
12400,0.6987903225806451
12800,0.701015625
13200,0.7031060606060606
13600,0.7048529411764706
14000,0.7071428571428572
14400,0.71
14800,0.711418918918919
15200,0.7132894736842105
15600,0.7156410256410256
16000,0.717375
16400,0.7171951219512195
16800,0.718452380952381
17200,0.7201744186046511
17600,0.7214772727272727
18000,0.7222777777777778
18400,0.7233695652173913
18800,0.7242021276595745
19200,0.72515625
19600,0.7261734693877551
20000,0.7274
20400,0.7281372549019608
20800,0.7291346153846154
21200,0.7301415094339623
21600,0.73125
22000,0.7322272727272727
22400,0.7327232142857143
22800,0.7330701754385965
23200,0.7342241379310345
23600,0.7349576271186441
24000,0.7355416666666666
24400,0.7366803278688525
24800,0.7377822580645161
25200,0.7387301587301587
25600,0.7400390625
26000,0.7411538461538462
26400,0.7422727272727273
26800,0.7434328358208955
27200,0.7439338235294117
27600,0.7446739130434783
28000,0.7450714285714286
28400,0.7457042253521127
28800,0.7464236111111111
29200,0.7471575342465754
29600,0.7477702702702703
30000,0.7491333333333333
30400,0.7495723684210527
30800,0.75
31200,0.7506730769230769
31600,0.7513924050632912
32000,0.7518125
32400,0.7523456790123457
32800,0.7522560975609756
33200,0.7505120481927711
33600,0.7505654761904762
34000,0.7507058823529412
34400,0.7507558139534883
34800,0.7512356321839081
35200,0.7518181818181818
35600,0.751685393258427
36000,0.7518611111111111
36400,0.7523351648351648
36800,0.7529347826086956
37200,0.7533064516129032
37600,0.7537765957446808
38000,0.7542105263157894
38400,0.754453125
38800,0.754819587628866
39200,0.7548724489795918
39600,0.7547727272727273
40000,0.755175
40400,0.7555940594059406
40800,0.7558333333333334
41200,0.755995145631068
41600,0.7562980769230769
42000,0.7567380952380952
42400,0.7572641509433963
42800,0.7576401869158879
43200,0.7578703703703704
43600,0.7581880733944955
44000,0.7586136363636363
44400,0.7589189189189189
44800,0.7592633928571428
45200,0.7595353982300885
45600,0.7595614035087719
46000,0.7599565217391304
46400,0.7599137931034483
46800,0.7602350427350427
47200,0.7602542372881356
47600,0.7604411764705883
48000,0.7607708333333333
48400,0.7612603305785124
48800,0.7617418032786886
49200,0.7619308943089431
49600,0.7623588709677419
50000,0.7629
50400,0.7635119047619048
50800,0.7641338582677165
51200,0.76447265625
51600,0.7645542635658915
52000,0.7650576923076923
52400,0.7649045801526717
52800,0.7651136363636364
53200,0.7656015037593985
53600,0.7660074626865672
54000,0.7662407407407408
54400,0.7666727941176471
54800,0.7666788321167883
55200,0.7670289855072464
55600,0.7676258992805756
56000,0.7677678571428571
56400,0.7679255319148937
56800,0.7683802816901408
57200,0.7684265734265734
57600,0.7686979166666666
58000,0.769
58400,0.7690582191780821
58800,0.7691836734693878
59200,0.7694425675675676
59600,0.769261744966443
60000,0.7694
60400,0.7695033112582782
60800,0.7697368421052632
61200,0.7698529411764706
61600,0.7701461038961039
62000,0.770016129032258
62400,0.7701923076923077
62800,0.7704299363057325
63200,0.7705696202531646
63600,0.7707389937106919
64000,0.770984375
64400,0.7711024844720497
64800,0.7713580246913581
65200,0.7714723926380368
65600,0.7716920731707317
66000,0.7722121212121212
66400,0.7725150602409638
66800,0.7729191616766468
67200,0.7730803571428572
67600,0.7732396449704142
68000,0.7734705882352941
68400,0.7736549707602339
68800,0.7740552325581396
69200,0.7742774566473989
69600,0.7742385057471264
70000,0.7743428571428571
70400,0.7745454545454545
70800,0.7747175141242938
71200,0.7748033707865168
71600,0.7750837988826815
72000,0.7750138888888889
72400,0.7751243093922652
72800,0.7753434065934066
73200,0.7755601092896175
73600,0.7757472826086956
74000,0.7757027027027027
74400,0.7758467741935484
74800,0.775975935828877
75200,0.7761037234042554
75600,0.7761243386243386
76000,0.7761973684210526
76400,0.7763874345549738
76800,0.7764322916666667
77200,0.7764248704663212
77600,0.7765721649484536
78000,0.7766025641025641
78400,0.7768877551020408
78800,0.7767893401015229
79200,0.7769823232323232
79600,0.7770226130653266
80000,0.776825
80400,0.7769278606965174
80800,0.7771163366336634
81200,0.7774261083743842
81600,0.7774509803921569
82000,0.7777195121951219
82400,0.7778398058252427
82800,0.7778019323671498
83200,0.7778365384615384
83600,0.7779066985645933
84000,0.7776309523809524
84400,0.7779028436018958
84800,0.7778891509433963
85200,0.7778521126760564
85600,0.777803738317757
86000,0.7777209302325582
86400,0.7776273148148148
86800,0.7775691244239631
87200,0.7776949541284404
87600,0.7778995433789955
88000,0.7781704545454545
88400,0.7782918552036199
88800,0.778445945945946
89200,0.7784641255605381
89600,0.7785044642857143
90000,0.7784888888888889
90400,0.7783407079646018
90800,0.7784140969162996
91200,0.7784210526315789
91600,0.7785371179039301
