step,accuracy
400,0.9125
800,0.90875
1200,0.9091666666666667
1600,0.9125
2000,0.913
2400,0.91375
2800,0.9142857142857143
3200,0.9146875
3600,0.9105555555555556
4000,0.91075
4400,0.9109090909090909
4800,0.9095833333333333
5200,0.91
5600,0.9103571428571429
6000,0.9111666666666667
6400,0.90875
6800,0.9085294117647059
7200,0.9093055555555556
7600,0.9097368421052632
8000,0.909875
8400,0.9095238095238095
8800,0.9098863636363637
9200,0.9085869565217392
9600,0.9085416666666667
10000,0.9095
10400,0.9090384615384616
10800,0.9092592592592592
11200,0.9092857142857143
11600,0.9096551724137931
12000,0.9095833333333333
12400,0.9100806451612903
12800,0.909453125
13200,0.9088636363636363
13600,0.9084558823529412
14000,0.9081428571428571
14400,0.9088888888888889
14800,0.9089864864864865
15200,0.9096052631578947
15600,0.9094871794871795
16000,0.9091875
16400,0.9094512195121951
16800,0.9094047619047619
17200,0.9091860465116279
17600,0.9085795454545454
18000,0.9082777777777777
18400,0.9080978260869565
18800,0.9074468085106383
19200,0.9073958333333333
19600,0.9071428571428571
20000,0.9071
20400,0.9069607843137255
20800,0.9064423076923077
21200,0.9059905660377359
21600,0.9054166666666666
22000,0.9054090909090909
22400,0.9049107142857142
22800,0.9048245614035088
23200,0.9047413793103448
23600,0.9045762711864407
24000,0.9044583333333334
24400,0.9041803278688525
24800,0.9044354838709677
25200,0.9044047619047619
25600,0.904375
26000,0.9043461538461538
26400,0.9045833333333333
26800,0.9049253731343283
27200,0.9045588235294117
27600,0.9046739130434782
28000,0.9044642857142857
28400,0.9042253521126761
28800,0.9041666666666667
29200,0.9043150684931507
29600,0.9039864864864865
30000,0.9044
30400,0.904671052631579
30800,0.9045454545454545
31200,0.9046794871794872
31600,0.9045886075949368
32000,0.90453125
32400,0.9044135802469135
32800,0.9042378048780488
33200,0.9040361445783133
33600,0.9038690476190476
34000,0.9035588235294117
34400,0.9033139534883721
34800,0.9032471264367816
35200,0.9034090909090909
35600,0.9027808988764044
36000,0.9026111111111111
36400,0.9025274725274726
36800,0.902445652173913
37200,0.9023924731182795
37600,0.902154255319149
38000,0.9017894736842105
38400,0.90171875
38800,0.9014432989690722
39200,0.9012755102040816
39600,0.9011111111111111
40000,0.901125
40400,0.9011386138613862
40800,0.9011764705882352
41200,0.9010922330097088
41600,0.9010096153846154
42000,0.9008809523809523
42400,0.9007311320754717
42800,0.9007242990654205
43200,0.9006712962962963
43600,0.9006422018348624
44000,0.9007272727272727
44400,0.9005630630630631
44800,0.90046875
45200,0.9001327433628319
45600,0.9
46000,0.899891304347826
46400,0.8996120689655173
46800,0.8996367521367521
47200,0.8997881355932204
47600,0.8998109243697479
48000,0.8998958333333333
48400,0.8999793388429752
48800,0.8999180327868852
49200,0.8996951219512195
49600,0.8995362903225806
50000,0.89968
50400,0.8998214285714285
50800,0.8997244094488189
51200,0.89962890625
51600,0.8993604651162791
52000,0.8993846153846153
52400,0.8988358778625954
52800,0.8986931818181818
53200,0.8987781954887218
53600,0.8991044776119403
54000,0.899
